id,scope,name_th,name_en,display_order,created_at,updated_at,deleted_at
041b4885-2ded-463e-806d-e29d61b6a2cc,3,Category 5 การจัดการของเสียที่เกิดจากการด าเนินกิจกรรมขององค์กร,Category 5 Waste generated in operations,11,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
088eb39e-0ed5-4e3c-aeeb-4b753673e73d,3,Category 9 การขนส่งและกระจายสินค้า,Category 9 Downstream transportation and distribution,15,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
106770c3-d1ca-4028-9daf-65eb0e0312aa,1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),3,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
1f710731-fbc0-4bac-b3a8-9714a1d2c31b,1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,5,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
258d3478-6e31-442c-8943-138d7b4d150c,1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,1,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
28af9658-f47d-4e53-9ff0-5af39ce7630d,3,Category 3 กิจกรรมที่เกี่ยวข้องกับเชื้อเพลิงและพลังงาน,Category 3 Fuel and energy related activities,9,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
2d37b8a1-4b59-45ac-870d-799df2475ae6,3,Category 12 การจัดการซากผลิตภัณฑ์ที่องค์กรจำหน่าย,Category 12 End-of-life treatment of sold products,18,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
2d66962c-6ef4-4d01-b7f0-4ac2d506127c,3,Category 1 การซื้อวัตถุดิบ และบริการ,Category 1 Purchased goods and services,7,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
38253b3c-5796-42a4-a502-cacdb7d3009a,3,Category 4 การขนส่งและกระจายสินค้าต้นน้ำ,Category 4 Upstream transportation and distribution,10,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
41a74307-e3a7-468c-b7bd-b12f8a24113a,1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),2,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
46de6de8-0326-4dd9-8121-6d59b3565583,3,Category 10 การแปรรูปสินค้าที่องค์กรจำหน่าย,Category 10 Processing of sold products,16,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
5fd133ba-35bc-46a7-b64e-874e358f5f10,3,Category 8 การใช้สินทรัพย์ที่เช่า,Category 8 Upstream leased assets,14,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
7b94b964-7557-4653-bb25-c2fd8d9ebeab,3,Category 7 การเดินทางของพนักงาน,Category 7 Employee commuting,13,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
9d3f04d9-3d38-415a-a19c-67fa5658f686,4,แยกรายงานการใช้พลังงาน,Energy Usage Reporting,20,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
9ef008d0-887f-4a9c-a20c-3ee013ce00f5,1,3) กระบวนการผลิต (Process emissions),3) Process emissions,4,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
a6536723-ba76-4109-bb0c-363be40a4adc,3,Category 11 การใช้งานของผลิตภัณฑ์ที่องค์กรจำหน่าย,Category 11 Use of sold products,17,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
cac9eb85-e4d9-4958-a099-79596e8fe0f0,3,Category 13 การปล่อยเช่าสินทรัพย์ขององค์กร,Category 13 Downstream leased assets,19,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
d237af54-4b32-432f-b4d6-fa889c1d5790,3,Category 6 การเดินทางเพื่อธุรกิจ,Category 6 Business travel,12,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
db105ad6-1ebe-42b0-8e85-ba6058462bba,2,การใช้พลังงานไฟฟ้า,Purchased Electricity,6,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,
ed1c50df-0a1a-428e-b77d-6ac78aafc7bf,3,Category 2 สินค้าประเภททุน,Category 2 Capital goods,8,2026-03-18 21:46:27.905815+00,2026-03-18 21:46:27.905815+00,